postcode,Total Customers,Total Spent,Avg Spent,Total Orders,Avg Orders,Total Items,Avg Items,Returning Customers,Returning Customers Rate
20018,3,3312.7,1104.23,37,12.33,40,13.33,1,33.3
21601,4,3151.23,787.81,19,4.75,177,44.25,1,25.0
20194,3,2779.22,926.41,29,9.67,147,49.0,2,66.7
33936,1,2631.94,2631.94,25,25.0,154,154.0,1,100.0
32578,2,2499.72,1249.86,29,14.5,29,14.5,2,100.0
21502,9,1921.74,213.53,32,3.56,45,5.0,3,33.3
15237,2,1919.45,959.73,25,12.5,49,24.5,2,100.0
21536,3,1795.95,598.65,21,7.0,26,8.67,1,33.3
20832,5,1735.15,347.03,21,4.2,57,11.4,2,40.0
21401,4,1706.45,426.61,19,4.75,32,8.0,2,50.0
20723,2,1503.47,751.74,12,6.0,17,8.5,2,100.0
21550,9,1424.54,158.28,21,2.33,32,3.56,5,55.6
20008,1,1418.65,1418.65,15,15.0,30,30.0,1,100.0
20910,4,1093.36,273.34,15,3.75,33,8.25,2,50.0
20733,1,1055.3,1055.3,17,17.0,17,17.0,1,100.0
21210,6,1009.92,168.32,14,2.33,17,2.83,3,50.0
08033,2,1003.0,501.5,17,8.5,17,8.5,2,100.0
06517,1,951.75,951.75,6,6.0,34,34.0,1,100.0
20850,2,944.98,472.49,13,6.5,15,7.5,1,50.0
21228,1,942.15,942.15,14,14.0,17,17.0,1,100.0
17050,3,939.72,313.24,12,4.0,16,5.33,2,66.7
33558,1,884.01,884.01,6,6.0,36,36.0,1,100.0
22401,1,872.89,872.89,7,7.0,31,31.0,1,100.0
21701,3,864.51,288.17,9,3.0,11,3.67,2,66.7
53217,1,850.2,850.2,15,15.0,15,15.0,1,100.0
21782,1,847.0,847.0,14,14.0,14,14.0,1,100.0
26501-6449,1,834.29,834.29,8,8.0,9,9.0,1,100.0
20895,3,828.66,276.22,7,2.33,31,10.33,1,33.3
21541,6,813.11,135.52,8,1.33,13,2.17,1,16.7
06513,1,799.56,799.56,14,14.0,26,26.0,1,100.0
