Nth day,30 days,7 days,1 day
0,0,0,0
1,0,0,0
2,0,0,0
3,0,0,0
4,0,0,0
5,0,0,0
6,0,0,0
7,0,0,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,0,0
13,0,0,0
14,0,0,0
15,0,0,0
16,0,0,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,0,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,0,0
25,0,0,0
26,0,0,0
27,0,0,0
28,0,0,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,0,0
35,0,0,0
36,0,0,0
37,0,0,0
38,0,0,0
39,0,0,0
40,0,0,0
41,0,0,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,0,0
49,0,0,0
50,0,0,0
51,0,0,0
52,0,0,0
53,0,0,0
54,0,0,0
55,0,0,0
56,0,0,0
57,0,0,0
58,0,0,0
59,0,0,0
60,0,0,0
61,0,0,0
62,0,0,0
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,0,0,0
96,0,0,0
97,0,0,0
98,0,0,0
99,0,0,0
100,0,0,0
101,0,0,0
102,0,0,0
103,0,0,0
104,0,0,0
105,0,0,0
106,0,0,0
107,0,0,0
108,0,0,0
109,0,0,0
110,0,0,0
111,0,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,0,0,0
121,0,0,0
122,0,0,0
123,0,0,0
124,0,0,0
125,31,31,31
126,80,80,49
127,134,134,55
128,177,177,44
129,276,276,100
130,331,331,57
131,385,385,57
132,442,411,59
133,500,422,61
134,613,485,118
135,685,515,80
136,744,479,65
137,796,477,53
138,940,565,150
139,993,565,59
140,1038,550,48
141,1099,505,68
142,1165,500,74
143,1339,615,188
144,1400,629,67
145,1471,561,79
146,1708,745,247
147,1808,798,106
148,1861,785,61
149,1939,798,87
150,1987,667,59
151,2038,658,54
152,2088,642,57
153,2141,457,58
154,2213,430,79
155,2293,483,110
156,2302,465,66
157,2314,476,67
158,2330,480,59
159,2296,486,64
160,2348,543,113
161,2365,544,80
162,2390,518,82
163,2385,511,63
164,2349,511,72
165,2334,513,59
166,2328,511,55
167,2340,468,68
168,2259,448,60
169,2270,435,69
170,2298,449,81
171,2287,432,58
172,2422,582,207
173,2335,623,100
174,2340,621,73
175,2334,625,66
176,2163,626,68
177,2123,613,66
178,2129,620,66
179,2244,615,200
180,2267,603,80
181,2480,809,292
182,2522,841,107
183,2531,840,69
184,2533,855,86
185,2580,946,158
186,2582,823,70
187,2599,835,93
188,2642,662,105
189,2652,627,70
190,2647,665,100
191,2628,643,61
192,2611,551,63
193,2622,555,76
194,2622,538,77
195,2625,498,66
196,2730,588,165
197,2757,584,98
198,2770,598,72
199,2778,613,82
200,2763,600,66
201,2782,603,77
202,2657,611,68
203,2633,508,61
204,2625,473,61
205,2682,530,129
206,2686,519,74
207,2730,560,108
208,2765,582,99
209,2661,600,90
210,2692,650,110
211,2504,675,87
212,2469,620,76
213,2494,640,93
214,2486,607,77
215,2431,616,102
216,2450,613,92
217,2434,587,81
218,2417,584,81
219,2430,594,85
220,2433,602,102
221,2473,626,102
222,2505,626,102
